benchmark	measure	model	layer	spearman	spearmanp	permutation_test	permutation_testp
dwug_en12	apd	bert	1	0.358	0.014	0.358	0.02
dwug_en12	prt	bert	1	0.295	0.046	0.295	0.099
dwug_en12	ap+jsd	bert	1	0.129	0.391	0.129	0.376
dwug_en12	ap+apdp	bert	1	0.188	0.21	0.188	0.198
dwug_en12	app+jsd	bert	1	0.152	0.312	0.152	0.436
dwug_en12	app+apdp	bert	1	0.253	0.089	0.253	0.158
dwug_en12	apd	bert	2	0.464	0.001	0.464	0.02
dwug_en12	prt	bert	2	0.409	0.005	0.409	0.02
dwug_en12	ap+jsd	bert	2	0.288	0.052	0.288	0.059
dwug_en12	ap+apdp	bert	2	0.49	0.001	0.49	0.02
dwug_en12	app+jsd	bert	2	-0.061	0.687	-0.061	0.812
dwug_en12	app+apdp	bert	2	0.434	0.003	0.434	0.02
dwug_en12	apd	bert	3	0.574	0.0	0.574	0.02
dwug_en12	prt	bert	3	0.436	0.002	0.436	0.02
dwug_en12	ap+jsd	bert	3	0.267	0.073	0.267	0.059
dwug_en12	ap+apdp	bert	3	0.477	0.001	0.477	0.02
dwug_en12	app+jsd	bert	3	0.025	0.869	0.025	0.752
dwug_en12	app+apdp	bert	3	0.423	0.003	0.423	0.02
dwug_en12	apd	bert	4	0.628	0.0	0.628	0.02
dwug_en12	prt	bert	4	0.467	0.001	0.467	0.02
dwug_en12	ap+jsd	bert	4	0.353	0.016	0.353	0.059
dwug_en12	ap+apdp	bert	4	0.614	0.0	0.614	0.02
dwug_en12	app+jsd	bert	4	0.415	0.004	0.415	0.059
dwug_en12	app+apdp	bert	4	0.611	0.0	0.611	0.02
dwug_en12	apd	bert	5	0.684	0.0	0.684	0.02
dwug_en12	prt	bert	5	0.494	0.0	0.494	0.02
dwug_en12	ap+jsd	bert	5	0.432	0.003	0.432	0.02
dwug_en12	ap+apdp	bert	5	0.562	0.0	0.562	0.02
dwug_en12	app+jsd	bert	5	0.371	0.011	0.371	0.02
dwug_en12	app+apdp	bert	5	0.527	0.0	0.527	0.02
dwug_en12	apd	bert	6	0.667	0.0	0.667	0.02
dwug_en12	prt	bert	6	0.516	0.0	0.516	0.02
dwug_en12	ap+jsd	bert	6	0.431	0.003	0.431	0.02
dwug_en12	ap+apdp	bert	6	0.543	0.0	0.543	0.02
dwug_en12	app+jsd	bert	6	0.296	0.045	0.296	0.079
dwug_en12	app+apdp	bert	6	0.458	0.001	0.458	0.04
dwug_en12	apd	bert	7	0.614	0.0	0.614	0.02
dwug_en12	prt	bert	7	0.529	0.0	0.529	0.02
dwug_en12	ap+jsd	bert	7	0.144	0.341	0.144	0.416
dwug_en12	ap+apdp	bert	7	0.322	0.029	0.322	0.059
dwug_en12	app+jsd	bert	7	0.239	0.109	0.239	0.119
dwug_en12	app+apdp	bert	7	0.305	0.04	0.305	0.04
dwug_en12	apd	bert	8	0.642	0.0	0.642	0.02
dwug_en12	prt	bert	8	0.539	0.0	0.539	0.02
dwug_en12	ap+jsd	bert	8	0.228	0.127	0.228	0.119
dwug_en12	ap+apdp	bert	8	0.447	0.002	0.447	0.02
dwug_en12	app+jsd	bert	8	0.188	0.21	0.188	0.317
dwug_en12	app+apdp	bert	8	0.449	0.002	0.449	0.02
dwug_en12	apd	bert	9	0.6	0.0	0.6	0.02
dwug_en12	prt	bert	9	0.549	0.0	0.549	0.02
dwug_en12	ap+jsd	bert	9	0.424	0.003	0.424	0.02
dwug_en12	ap+apdp	bert	9	0.502	0.0	0.502	0.02
dwug_en12	app+jsd	bert	9	0.122	0.418	0.122	0.376
dwug_en12	app+apdp	bert	9	0.544	0.0	0.544	0.02
dwug_en12	apd	bert	10	0.53	0.0	0.53	0.02
dwug_en12	prt	bert	10	0.511	0.0	0.511	0.02
dwug_en12	ap+jsd	bert	10	0.233	0.12	0.233	0.158
dwug_en12	ap+apdp	bert	10	0.382	0.009	0.382	0.059
dwug_en12	app+jsd	bert	10	0.219	0.143	0.219	0.277
dwug_en12	app+apdp	bert	10	0.396	0.006	0.396	0.04
dwug_en12	apd	bert	11	0.554	0.0	0.554	0.02
dwug_en12	prt	bert	11	0.452	0.002	0.452	0.02
dwug_en12	ap+jsd	bert	11	0.148	0.325	0.148	0.198
dwug_en12	ap+apdp	bert	11	0.38	0.009	0.38	0.02
